Number,Name,AverageLifeSpan,WateringFrequency,Sunshine,Temperature,HeightMeter
43,Peperomia obtusifolia,>2 years,Wait till the top layer of soil dry,indirect sunlight,mild climate,0.25~0.3
44,Oxalis triangularis,2 years,Wait till the top layer of soil dry,bright/direct sunlight,mild climate,0.3
45,Bird of paradise flower,1~2 weeks,Moist soil always,Bright indirect sunlight,tropical,1.54
46,Calathea orbifolia,2~3 years,Moist soil always,indirect light,mild climate,1
47,Aloe vera,4~12 years,Wait till the top layer of soil dry,bright/direct sunlight,mild climate,0.6~1
48,Echeveria elegans,3~10 years,water completely and wait till soil dry mostly,Bright indirect sunlight,mild climate,0.05~0.1
49,Burro's-tail,30~50 years,no more than once per month,indirect sunlight,sub-tropical,0.9
50,Portulacaria afra,>1 years,water completely and wait till soil dry mostly,indirect light,"ideally mild,high cold tolerance",2.4~3.6
51,Spiral aloe,52 years,water completely and wait till soil dry mostly,indirect light,"ideally mild,high cold tolerance",0.3
52,Haworthiopsis limifolia,<50 years,water completely and wait till soil dry mostly,Bright indirect sunlight,mild climate,0.07~0.5
53,Haworthia cooperi,5~20 years,water completely and wait till soil dry mostly,Bright indirect sunlight,mild climate,0.07~0.12
54,Haworthia cymbiformis,>20 years,water completely and wait till soil dry mostly,indirect light,mild climate,0.15
55,Hatiora salicornioides,400~600 years,water completely and wait till soil dry mostly,indirect light,mild climate,0.6~1
56,Peyote,<3000 years,once per week,Preferably plenty of light but can bear low light,mild climate,0.02~0.07
57,Haworthia truncata,>10 years,Wait till the top layer of soil dry,Preferably plenty of light but can bear low light,tropical,>0.2
58,Eastern Prickly Pear,>20 years,Wait till the top layer of soil dry,Preferably plenty of light but can bear low light,tropical,0.5~2
59,Cape aloe,>2 years,drought tolerant,bright/direct sunlight,mild climate,1.8~2.7
60,Astrophytum asterias,400~600 years,water completely and wait till soil dry mostly,bright/direct sunlight,sub-tropical,0.2~0.6
61,Parodia magnifica,>60 years,Wait till soil dry mostly,bright indirect light,"ideally mild,high cold tolerance",0.07~0.15
62,Pereskia aculeata,10~30 years,water completely and wait till soil dry mostly,bright/direct sunlight,tropical,10
63,Jasmine,15~20 years,water completely and wait till soil dry mostly,indirect sunlight,sub-tropical,3.04~4.5
64,Geraniums,2 ~40 years,Wait till soil dry mostly,Preferably direct sunlight 4~6 h per day,mild climate,0.3~0.9
65,Cape primrose,3~10 years,Wait till soil dryout,bright indirect light,mild climate,0.3
66,Poinsettia,1~2 years,Wait till the top layer of soil dry,indirect sunlight,mild climate,0.6~4
67,Asparagus setaceus,<20 years,Moist soil always,indirect light,mild climate,0.5~2.5
68,Daisy,3~4 years,Wait till soil dry mostly,indirect light,mild climate,0.6~ 0.9
69,Echeveria,>3 years,water completely and wait till soil dry mostly,strong light,mild climate,0.3
70,Polka dot plant,>2 years,Moist soil always,indirect sunlight,mild climate,0.4
71,Hyacinth,>4 years,mildly wet always,bright/direct sunlight,mild climate,0.15~0.3
72,Lavender,>15 years,drought tolerant,Preferably plenty of light but can bear low light,warm,0.68
73,Panda plant,die after flowering,Wait till the top layer of soil dry,bright light,mild climate,0.3~0.6
74,Flapjacks,1~2 years,Wait till soil dry mostly,bright light,mild climate,0.45
75,Paddle plant,>1 year,water completely and wait till soil dry mostly,bright light,warm,0.3~0.6
76,Kalanchoe Panamensis,>1 year,Wait till the top layer of soil dry,bright indirect light,mild climate,<0.45
77,Gasteria batesiana,10-15 years,once per week,bright light,"ideally mild,high cold tolerance",0.3~1
78,Hedgehog aloe,<25 years,Wait till soil dryout,bright/direct sunlight,mild climate,0.3~0.5
79,Tiger tooth aloe,>1 year,water completely and wait till soil dry mostly,indirect light,"ideally mild,high cold tolerance",0.24~0.3
80,Rhipsalis cereuscula,<70 years,water completely and wait till soil dry mostly,bright indirect light,mild climate,<0.61
81,Gymnocalycium mihanovichii,<5 years,once per month,Bright indirect sunlight,mild climate,<0.2
82,Haworthia retusa,15~20 years,Wait till soil dryout,Bright indirect sunlight,"ideally mild,high cold tolerance",0.07~0.12
83,Aloe brevifolia,60 years,Wait till soil dryout,Preferably direct sunlight 6~8 h per day,warm,0.3~0.6
84,Queen of the Night,25 years,Wait till soil dryout,bright indirect light,warm,<3.04
85,Fishbone cactus,>7 years,water completely and wait till soil dry mostly,indirect light,mild climate,>0.4
86,Lophophora,>30 years,Every 2 weeks,indirect light,"ideally mild,high cold tolerance",0.06
87,Mammillaria,10-100 years,water completely and wait till soil dry mostly,indirect light,warm,>0.3
88,Hedgehog cacti,<100 years,Every 4 days,bright light,warm,<0.5
89,Golden barrel cactus,<100 years,Wait till soil dryout,Preferably plenty of light but can bear low light,mild climate,0.2
90,Fasciated haworthia,70-100 years,water completely and wait till soil dry mostly,Bright indirect sunlight,sub-tropical,0.04~0.2
91,Haworthia bayeri,15~20 years,Wait till soil dryout,Preferably plenty of light but can bear low light,sub-tropical,0.07~0.12
92,Haworthia koelmaniorum,>10 years,Moist soil always,Preferably plenty of light but can bear low light,high cold tolerance,<0.35
93,Ficus microcarpa,>15 years,water completely and wait till soil dry mostly,medium light,mild climate,<18
94,Ficus retusa,<100 years,Moist soil always,indirect sunlight,mild climate,<10
95,Philodendron erubescens,>5 years,Wait till the top layer of soil dry,indirect sunlight,sub-tropical,<3.6
96,Asparagus setaceus,<20 years,Wait till the top layer of soil dry,indirect light,mild climate,<2.5
97,Bunch-flowered daffodil,>3 weeks,once per week,indirect light,mild climate,0.3~0.4
98,Nephthytis,>3 years,Moist soil always,Medium to low light,mild climate,<1.8
99,African mask,<15 years,water completely and wait till soil dry mostly,diffused light,sub-tropical,1.2
100,Clivia,5 years,Wait till soil dry mostly,bright indirect light,mild climate,0.6~ 0.9
